"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"QPCT",127.833766884746,3.72489133483283,0.468853897498734,7.94467392657835,1.94702263950927e-15,4.28580335077034e-13
"JCHAIN",5189.4732617348,6.72728443766246,0.847931702515891,7.93375742138428,2.12613192537011e-15,4.58367923620138e-13
"PPP1R12C",3076.44857128665,-4.3986972210252,0.554436071209741,-7.93364185599892,2.12811227081388e-15,4.58367923620138e-13
"TPM2",1630.44738479362,-3.35559105319234,0.42315234381144,-7.92998337895918,2.19175218292336e-15,4.67053063575934e-13
"IGLV2-23",728.425847065865,7.97689939135056,1.00979479209153,7.89952518454611,2.79967867321254e-15,5.9031961582232e-13
"FPR1",619.647128214698,2.92052884201568,0.369904152494599,7.89536646809695,2.89463437226659e-15,6.0398355323825e-13
"ARRDC3",3141.8941679242,1.70193206039886,0.216551316714745,7.85925519280382,3.86424254093017e-15,7.97986003478065e-13
"MELTF",608.150178924887,-2.61155500542815,0.333801932047168,-7.82366653605564,5.13066048375127e-15,1.04869653214308e-12
"PELP1",731.454231957374,-2.69719277642752,0.344952894127507,-7.819017675586,5.32371356600053e-15,1.06639306440557e-12
"RABEP2",342.48750750382,-3.00649390584211,0.384500707157347,-7.81921554337163,5.31535291208703e-15,1.06639306440557e-12
"IGHJ3",187.229534822623,8.55155687565739,1.0958117225882,7.80385599038807,6.00437068013708e-15,1.17915244209633e-12
"P3H4",170.532275524563,-2.847769824192,0.364895767433118,-7.80433778178579,5.98147890974325e-15,1.17915244209633e-12
"IRF4",1637.91525604559,4.29987100356816,0.552357460247662,7.78458029993877,6.99450078564986e-15,1.36026063337235e-12
